name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn,Closed,Area,Picture Spot
Ons' Lieve Heer op Solder,52.37512,4.89949,https://opsolder.nl/en/museum-our-lord-in-the-attic/,,,n,,n,n,n,n,y,n,n,n,n,n,n
Oude Kerk,52.37433,4.89739,https://oudekerk.nl,,,n,,n,n,n,n,y,n,n,n,n,n,n
Oudemanhuispoort,52.36924,4.89658,https://www.amsterdamsights.com/shopping/oudemanhuispoort.html,,,n,,n,n,n,n,n,y,n,n,n,n,n
Pannenkoekenboot,52.40036779,4.891882345,https://amsterdam.pannenkoekenboot.nl/en/,,,,,n,n,n,n,y,n,n,n,n,n,n
Pat's Poffertjes,52.37468,4.8886,https://www.google.com/search?client=safari&rls=en&q=Pat%27s+Poffertjes&ie=UTF-8&oe=UTF-8,,,n,,n,n,n,y,n,n,n,n,n,n,n
Piqniq,52.38033,4.88608,https://piqniq.nl,,,n,,n,n,n,y,n,n,n,n,n,n,n
Prinseneiland,52.38573,4.8877,https://amsterdamian.com/see/amsterdam/prinseneiland/,,,n,,n,n,n,n,y,n,n,n,n,n,n
Rembrandt's House,52.36946,4.90133,https://www.rembrandthuis.nl/en/,,,n,,n,n,n,n,y,n,n,n,n,n,n
Rembrandtplein,52.366,4.89651,https://en.wikipedia.org/wiki/Rembrandtplein,,,n,,n,n,n,n,y,n,n,n,n,n,n
Rijksmuseum,52.35972,4.885,https://www.rijksmuseum.nl/en,,,n,,n,n,n,n,y,n,n,n,n,n,n
Rose Vanilla,52.3636,4.87463,https://www.roseandvanilla.nl/,,,n,,n,n,n,y,n,n,n,n,n,n,n
Royal Palace of Amsterdam,52.37317,4.89202,https://www.paleisamsterdam.nl/en/,,,n,,n,n,n,n,y,n,n,n,n,n,n
Rudi's Original Stroopwafels,52.35586,4.89498,https://originalstroopwafels.com,,,n,,n,n,n,y,n,n,n,n,n,n,n
San Diego Resturant,52.37086,4.89929,https://sandiego-restaurant.nl/wp-content/uploads/2025/06/san-diego-dinner-2024-PDF_compressed.pdf,,,n,,n,n,n,y,n,n,n,n,n,n,n
San Serriffe,52.37362487,4.897268366,https://san-serriffe.com,,,n,,n,n,n,n,n,y,n,n,n,n,n
