shop_id,name,lat,lng,city,city_slug,province,address,postcode,website,shop_key,logo,visited,rating,status
cs-millennium,Millennium,52.36754,4.86405,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-millennium.html,cs-millennium,millennium.png,n,,open
cs-nachtegaal,Nachtegaal,52.354,4.9194,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-nachtegaal.html,cs-nachtegaal,nachtegaal.png,n,,open
cs-new-amsterdam,New Amsterdam,52.36698,4.85282,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-new-amsterdam.html,cs-new-amsterdam,new_amsterdam.png,n,,open
cs-new-times,New Times,52.37056,4.88913,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-new-times.html,cs-new-times,new_times.png,y,2,open
cs-newtimes2,New Times 2,52.36622843,4.89937125,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-newtimes2.html,cs-newtimes2,new_times_2.png,n,,open
ams-nogal-wiedes,Nogal Wiedes,52.3702204,4.9299321,Amsterdam,amsterdam,Noord-Holland,,,https://greenmeister.nl/coffeeshop/nogal-wiedes-amsterdam,ams-nogal-wiedes,,n,,open
cs-nice-place,Nice Place,52.35341,4.89966,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-nice-place.html,cs-nice-place,nice_place.png,n,,open
cs-96,NinetySix,52.36357,4.8633,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-96.html,cs-96,96.png,n,,open
cs-noord,Noord,52.38366,4.91253,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-noord.html,cs-noord,noon.png,n,,open
cs-oost,Oost,52.35637,4.91633,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-oost.html,cs-oost,coffeeshop_oost.png,n,,open
cs-pacific,Pacific,52.35309,4.88472,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-pacific.html,cs-pacific,pacific.png,n,,open
cs-papillon-ams,Papillon,52.3517,4.89459,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-papillon-ams.html,cs-papillon-ams,papillon.png,n,,open
cs-paradox,Paradox,52.37459,4.88126,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-paradox.html,cs-paradox,paradox.png,n,,open
cs-popeye,Popeye,52.37998169,4.892841584,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-popeye.html,cs-popeye,popeye.png,n,,open
cs-prix-d-ami,Prix D' Ami,52.37687,4.89725,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-prix-d-ami.html,cs-prix-d-ami,prix_dami.png,y,5,open
cs-program,ProGram,52.35612124,4.891036833,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-program.html,cs-program,program.png,n,,open
cs-reefer,Reefer,52.36971,4.90093,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-reefer.html,cs-reefer,reefer.png,n,,open
cs-relax-ams,Relax,52.38216,4.88714,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-relax-ams.html,cs-relax-ams,relax.png,n,,open
cs-relaxzuid,Relax Zuid,52.34842425,4.90552974,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-relaxzuid.html,cs-relaxzuid,relax_zuid.png,n,,open
cs-republiek,Republiek,52.38218,4.87866,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-republiek.html,cs-republiek,republiek.png,n,,open
cs-resin,Resin,52.37775345,4.895387373,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-resin.html,cs-resin,resin.png,n,,open
cs-ricks-cafe,Rick's,52.37171,4.89538,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-ricks-cafe.html,cs-ricks-cafe,ricks_coffeeshop.png,y,1,open
cs-risky-business,Risky Business,52.38101812,4.855386775,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-risky-business.html,cs-risky-business,risky_business.png,n,,open
cs-rock-it,Rock-It,52.37284,4.90001,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-rock-it.html,cs-rock-it,rock_it.png,n,,open
cs-rockland,Rockland,52.37338,4.8884,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-rockland.html,cs-rockland,rockland.png,n,,open
cs-rookies,Rookies,52.36293,4.88523,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-rookies.html,cs-rookies,rookies.png,n,,open
cs-roots,Roots,52.31167937,4.948230583,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-roots.html,cs-roots,roots.png,n,,open
cs-roxy,Roxy,52.35647,4.89556,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-roxy.html,cs-roxy,roxy.png,n,,open
cs-ruthless,Ruthless,52.36548,4.85328,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-ruthless.html,cs-ruthless,ruthless.png,n,,open
cs-saint,Saint,52.36687,4.89499,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-saint.html,cs-saint,saint.png,y,3,open
cs-sativa,Satvia,52.37453,4.89044,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-sativa.html,cs-sativa,sativa.png,y,3,open
cs-sensemillia1,Sensemillia,52.3751,4.8712,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-sensemillia1.html,cs-sensemillia1,sensemillia.png,n,,open
cs-sensemillia-2,Sensemillia 2,52.3602182,4.807705019,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-sensemillia-2.html,cs-sensemillia-2,sensemillia.png,n,,open
cs-siberie,Siberie,52.37896,4.89301,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-siberie.html,cs-siberie,siberie.png,y,4,open
cs-smokerdam,Smokerdam,52.34597452,4.906435057,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-smokerdam.html,cs-smokerdam,smokerdam.png,n,,open
cs-smokey-ams,Smokey,52.36576,4.89636,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-smokey-ams.html,cs-smokey-ams,smokey.png,n,,open
cs-solo,Solo,52.37193,4.90263,Amsterdam,amsterdam,Noord-Holland,,,https://www.coffeeshopmenus.org/cs-solo.html,cs-solo,solo.png,n,,open
