name,lat,lng,website,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn
Door 74,52.36601,4.89361,https://www.finddoor74.com,,n,,n,n,y,n,n,n,n,n
Downtown,52.36650735,4.890282371,https://www.coffeeshopdirect.com/Downtown.html,,n,,n,n,y,n,n,n,n,n
Drink n Sink,52.37529155,4.898003575,https://drinknsink.com,,n,,n,n,y,n,n,n,n,n
Excalibur,52.37401378,4.899436184,https://www.excaliburcafe.nl,,n,,n,n,y,n,n,n,n,n
Hill Street Blues,52.37541609,4.898231804,https://www.hillstreetblues.com,,n,,n,n,y,n,n,n,n,n
Kashmir Lounge,52.36404,4.86324,https://www.kashmirlounge.com,,n,,n,n,y,n,n,n,n,n
Lost in Amsterdam,52.37848,4.89518,https://lostinamsterdam.com,,n,,n,n,y,n,n,n,n,n
The Black Dog,52.37138971,4.889377163,https://www.theblackdog.nl,,n,,n,n,y,n,n,n,n,n
The Flying Dutchman,52.37781434,4.896311204,https://www.theflyingdutchmanbar.nl/?lang=en,,n,,n,n,y,n,n,n,n,n
The Grasshopper,52.37546614,4.897306758,https://thegrasshopper.com,,n,,n,n,y,n,n,n,n,n
The Old Church Bar,52.37401243,4.897497654,https://www.instagram.com/theoldchurchbaramsterdam/?hl=en,,n,,n,n,y,n,n,n,n,n
The Smoking Bull,52.37501,4.89863,http://www.smokingbull.nl,,n,,n,n,y,n,n,n,n,n
A-Fusion,52.37325,4.90024,https://a-fusion.nl,,n,,n,n,n,y,n,n,n,n
Abraham Kef,52.38694,4.90775,https://www.abrahamkef.nl/pages/tasting-room,,n,,n,n,n,y,n,n,n,n
Albert Cuyp Markt,52.35523,4.89166,https://albertcuyp-markt.amsterdam/?lang=en,,n,,n,n,n,y,n,n,n,n
Bills Burgers,52.35298359,4.85593404,https://billsburger.nl,,n,,n,n,n,y,n,n,n,n
Boeuf,52.35628176,4.888564778,https://www.boeufamsterdam.nl,,n,,n,n,n,y,n,n,n,n
Bonnie,52.35085956,4.856559211,https://www.instagram.com/bonnie.amsterdam/?hl=en,,n,,n,n,n,y,n,n,n,n
Burger Bistro,52.37261,4.89106,https://burgerbistro.nl/?gad_source=6&gad_campaignid=21518129946&gbraid=0AAAAA93zeRJXb6ovEKmz15X1u_38gOt5K&gclid=Cj0KCQjwnJfEBhCzARIsAIMtfKJcewxlANmupbwcuikWSrNh3-f8iDzmBphZUdI0ewTAUrH0gF4cs98aApsmEALw_wcB,,n,,n,n,n,y,n,n,n,n
Café Hegeraad,52.37936,4.88622,https://www.cafehegeraad.eu,,n,,n,n,n,y,n,n,n,n
Cafe Piazza,52.37195,4.89998,https://cafepiazza.nl/reservations/,,n,,n,n,n,y,n,n,n,n
Chun,52.37041,4.88393,https://chun-amsterdam.com,,n,,n,n,n,y,n,n,n,n
Craft Coffee & Pastry,52.35609,4.89351,https://www.craft-amsterdam.nl,,n,,n,n,n,y,n,n,n,n
Croque Madame,52.37392,4.89704,http://croquemadame.nl/,,n,,n,n,n,y,n,n,n,n
De Italiaan,52.36556,4.87637,https://www.deitaliaan.com/?ft-shop=takeaway,,n,,n,n,n,y,n,n,n,n
Delicatessen Koopman,52.36946,4.87987,https://koopmandelicatessen.nl,,n,,n,n,n,y,n,n,n,n
Fabel Friet Nieuwendijk,52.37869,4.89488,https://fabelfriet.nl/?lang=en,,n,,n,n,n,y,n,n,n,n
Fabel Friet Runstraat,52.36887,4.88406,https://fabelfriet.nl/?lang=en,,n,,n,n,n,y,n,n,n,n
Febo 1,52.37790269,4.89586888,https://www.febo.nl,febo.png,n,,n,n,n,y,n,n,n,n
Febo 10,52.37369946,4.892694464,https://www.febo.nl,febo.png,n,,n,n,n,y,n,n,n,n
Febo 2,52.37463055,4.899773878,https://www.febo.nl,febo.png,n,,n,n,n,y,n,n,n,n
Febo 3,52.36473653,4.883781002,https://www.febo.nl,febo.png,n,,n,n,n,y,n,n,n,n
Febo 4,52.37279818,4.878621597,https://www.febo.nl,febo.png,n,,n,n,n,y,n,n,n,n
Febo 5,52.3744528,4.873093723,https://www.febo.nl,febo.png,n,,n,n,n,y,n,n,n,n
Febo 6,52.36624227,4.868307087,https://www.febo.nl,febo.png,n,,n,n,n,y,n,n,n,n
Febo 7,52.35388765,4.890803334,https://www.febo.nl,febo.png,n,,n,n,n,y,n,n,n,n
Febo 8,52.35563065,4.900614188,https://www.febo.nl,febo.png,n,,n,n,n,y,n,n,n,n
Febo 9,52.36642736,4.895215486,https://www.febo.nl,febo.png,n,,n,n,n,y,n,n,n,n
Food Hallen,52.36634,4.86722,https://www.foodhallen.nl/en,,n,,n,n,n,y,n,n,n,n
Freddy Fryday,52.37606823,4.892047379,https://www.freddyfryday.nl,,n,,n,n,n,y,n,n,n,n
Hans Egstorf Bakery,52.37023,4.88898,https://www.hansegstorf.com/nl,,n,,n,n,n,y,n,n,n,n
Lanskroon Bakery,52.36879,4.88813,https://www.lanskroon.nl,,n,,n,n,n,y,n,n,n,n
Le Smash,52.37437343,4.900589502,https://www.le-smash.com,,n,,n,n,n,y,n,n,n,n
Mannekenpis Friet,52.37575,4.89621,https://mannekenpis.nl/en,,n,,n,n,n,y,n,n,n,n
Pat's Poffertjes,52.37468,4.8886,https://www.google.com/search?client=safari&rls=en&q=Pat%27s+Poffertjes&ie=UTF-8&oe=UTF-8,,n,,n,n,n,y,n,n,n,n
Piqniq,52.38033,4.88608,https://piqniq.nl,,n,,n,n,n,y,n,n,n,n
Rose Vanilla,52.3636,4.87463,https://www.roseandvanilla.nl/,,n,,n,n,n,y,n,n,n,n
Rudi's Original Stroopwafels,52.35586,4.89498,https://originalstroopwafels.com,,n,,n,n,n,y,n,n,n,n
San Diego Resturant,52.37086,4.89929,https://sandiego-restaurant.nl/wp-content/uploads/2025/06/san-diego-dinner-2024-PDF_compressed.pdf,,n,,n,n,n,y,n,n,n,n
Stroopperie,52.37586,4.89634,https://www.instagram.com/stroopperie/?hl=en,,n,,n,n,n,y,n,n,n,n
The Big Apple Resturant,52.36661,4.88984,https://thebigapple.nl/en/,,n,,n,n,n,y,n,n,n,n
Van Stapele,52.37197546,4.893250444,https://vanstapele.com/en/home/,,n,,n,n,n,y,n,n,n,n
Van Wonderen Stroopwafels,52.36796,4.89164,https://vanwonderen.co/?srsltid=AfmBOooMqUbjFrjhDYGeIsFVHYPetWoJV4JUXygWsADEP7pqNsy3KPPi,,n,,n,n,n,y,n,n,n,n
Vlaams Friteshuis Vleminckx,52.36788,4.89096,https://vleminckxdesausmeester.nl,,n,,n,n,n,y,n,n,n,n
Winkel 43,52.37906,4.88634,https://winkel43.nl/en/,,n,,n,n,n,y,n,n,n,n
216 Amstel,52.36523,4.90067,https://www.atlasobscura.com/places/amsterdams-house-with-the-blood-stains,,n,,n,n,n,n,y,n,n,n
Anne Frank House,52.37524,4.88384,https://www.annefrank.org/nl/,,n,,n,n,n,n,y,n,n,n
ARTIS Zoo,52.36613,4.91652,https://www.artis.nl/en,,n,,n,n,n,n,y,n,n,n
de Poezenboot,52.3782,4.89305,https://depoezenboot.nl/en,,n,,n,n,n,n,y,n,n,n
Flower Market,52.36671,4.89293,https://www.amsterdam.info/shopping/flowermarket/,,n,,n,n,n,n,y,n,n,n
Glow mini-golf,52.37117,4.91171,https://www.glowminigolf.amsterdam,,n,,n,n,n,n,y,n,n,n
